PARCEL_NO,ParcelNo
2  392.,0200 392.
8  5589.,080 5589.
22 78012.,22078012.
21 29037.,21029037.
1  4142-54,010 4142-54
18 18696.,18018696.
22 107015.,22107015.
2  3895.,020 3895.
21 6612.,21006612.
16 17261.,16017261.
22 121639.,22121639.
21 28761-70,21028761-70
22 102694.,22102694.
22 28696.,22028696.
22 738.,22000738.
19 3714.002L,19003714.002L
22 59800.,22059800.
21 12720.,21012720.
21 20799.,21020799.
21 2691-2,21002691-2
22 125323.,22125323.
10 2156.,10002156.
20 17986-8,20017986-8
2  1910-5,020 1910-5
22 35743.,22035743.
22 64925.,22064925.
20 16422.,20016422.
22 56522.,22056522.
22 67473.,22067473.
22 67219-29,22067219-29
22 25151.,22025151.
21 58360.,21058360.
22 93469.,22093469.
20 16322.,20016322.
2  2804.,020 2804.
2  95-118,02000 95-118
11 2056.,11002056.
20 9141.,20009141.
21 10317.,21010317.
19 972.,19000972.
12 3643.,12003643.
3  192.,0300 192.
6  1239-53,060 1239-53
22 28973.,22028973.
22 54965.,22054965.
9  10606.,09 10606.
16 40443.,16040443.
11 1576.002L,11001576.002L
22 13115-8,22013115-8
1  4142-54,010 4142-54
22 89567.,22089567.
21 3162.,21003162.
2  1980.,020 1980.
16 26051.,16026051.
22 109842.,22109842.
1  161.,0100 161.
22 106217.,22106217.
22 22622.,22022622.
22 89537.,22089537.
18 5779.,18005779.
1  4001.,010 4001.
1  4224-5,010 4224-5
15 4949.,15004949.
22 93138.,22093138.
16 12582-3,16012582-3
8  3851.,080 3851.
15 5056.,15005056.
21 75984.,21075984.
22 87465.,22087465.
15 14303.,15014303.
22 60712.,22060712.
22 75515.,22075515.
21 7342.,21007342.
16 10342.,16010342.
4  1356-60,040 1356-60
17 6373.,17006373.
21 27615.,21027615.
22 91667.,22091667.
20 711.,20000711.
14 11075.,14011075.
11 75.,11000075.
21 21488.,21021488.
22 50036.003,22050036.003
22 37496.,22037496.
22 119371.021,22119371.021
1  4061.002,010 4061.002
13 16580.,13016580.
22 55870.,22055870.
8  9584.,080 9584.
21 35927.,21035927.
12 10585-6,12010585-6
21 69841.,21069841.
3  1356-60,030 1356-60
1  618.061,0100 618.061
1  4163.,010 4163.
15 4757.,15004757.
10 7180.,10007180.
20 4241.,20004241.
13 12757.,13012757.
22 89539.,22089539.
16 234.,16000234.
22 47119.,22047119.
14 6433.,14006433.
1  889-983,0100 889-983
21 31925.,21031925.
18 9254.,18009254.
22 107239.,22107239.
22 1689.,22001689.
13 1838.,13001838.
22 101466-7,22101466-7
22 80519.,22080519.
21 73709.,21073709.
1  1559.002,010 1559.002
18 12866.,18012866.
16 21610.,16021610.
22 89050.,22089050.
22 800-1,22000800-1
22 25274.,22025274.
16 17995.,16017995.
2  4526-7,020 4526-7
22 8746-7,22008746-7
22 29717.,22029717.
16 42266.,16042266.
21 29663.,21029663.
10 5284.,10005284.
21 79820-1,21079820-1
21 56611-3,21056611-3
22 46940.,22046940.
21 72282-3,21072282-3
21 31837.,21031837.
18 9002.,18009002.
21 78389.,21078389.
10 4759.,10004759.
2  711-2,0200 711-2
2  192.,0200 192.
19 10268.,19010268.
22 55805.,22055805.
22 75612.,22075612.
22 90144.,22090144.
17 5699.,17005699.
21 74018.,21074018.
17 504.,17000504.
22 82058.,22082058.
16 25532.,16025532.
14 8735.,14008735.
22 4418-9,22004418-9
4  2530.,040 2530.
13 8989.,13008989.
2  5346.,020 5346.
22 1932.,22001932.
22 104191.,22104191.
22 17631-38,22017631-38
20 7985.,20007985.
16 13977.,16013977.
22 101574.,22101574.
2  886-90,0200 886-90
22 104-11,22000104-11
18 1505.,18001505.
1  7963-8191,010 7963-8191
21 66683.,21066683.
4  3272-3,040 3272-3
1  5100.,010 5100.
21 13645.,21013645.
3  3183-95,030 3183-95
9  9921.,090 9921.
17 8542.,17008542.
22 95623.,22095623.
2  3163.,020 3163.
20 13022.,20013022.
22 100566.,22100566.
16 10233.,16010233.
21 1926-8,21001926-8
13 2228.,13002228.
9  3003-155,090 3003-155
22 29854-5,22029854-5
2  192.,0200 192.
13 3120.,13003120.
18 70.,18000070.
21 70792.,21070792.
16 23200.,16023200.
16 246-7,16000246-7
16 39010.,16039010.
22 61652.023,22061652.023
22 45592.,22045592.
2  2239.,020 2239.
9  12895.,09 12895.
14 4653.,14004653.
22 76994.,22076994.
16 8597.,16008597.
13 10198.,13010198.
1  197.,0100 197.
1  4189.001,010 4189.001
16 2021-5,16002021-5
17 6684.002,17006684.002
12 11029.,12011029.
13 4650.,13004650.
21 70964.,21070964.
15 2168.009,15002168.009
16 40573.,16040573.
21 9435.,21009435.
21 73466.,21073466.
17 6413.,17006413.
16 27178.,16027178.
22 64089.016,22064089.016
2  486.,0200 486.
16 12942.,16012942.
16 36979.,16036979.
22 47880.,22047880.
17 7307.,17007307.
20 7950.,20007950.
14 7295.,14007295.
14 2434.,14002434.
21 367-72,21000367-72
22 78095.,22078095.
7  48-9,07000 48-9
3  100-32,0300 100-32
21 68832.,21068832.
12 2413.,12002413.
21 17356.,21017356.
1  4132.,010 4132.
14 3241.,14003241.
22 117538.,22117538.
22 110818.002,22110818.002
16 31037.,16031037.
10 187.,10000187.
20 13501.,20013501.
21 26005.001,21026005.001
21 7535.,21007535.
13 11263.,13011263.
16 43401.,16043401.
22 11749.,22011749.
17 16314-6,17016314-6
22 106569.,22106569.
22 59740.,22059740.
10 38.,10000038.
1  9536.,010 9536.
2  2249.,020 2249.
19 1039.,19001039.
20 927.,20000927.
4  1521-30,040 1521-30
22 72611.003,22072611.003
22 77788.002,22077788.002
1  4068-86,010 4068-86
1  4206.,010 4206.
21 1696.,21001696.
16 30690.,16030690.
18 12834.,18012834.
22 46402.,22046402.
22 94164.,22094164.
16 22900.,16022900.
21 62919.,21062919.
17 13059.,17013059.
21 72795.,21072795.
2  3002.,020 3002.
16 43645.,16043645.
21 17499.,21017499.
17 9178.,17009178.
19 10394.,19010394.
22 56251.,22056251.
1  4206.,010 4206.
13 6025.,13006025.
22 57011.023,22057011.023
13 24905-6,13024905-6
22 22583.,22022583.
21 66459.,21066459.
1  3781.,010 3781.
22 88778.,22088778.
22 79471.,22079471.
22 84597.,22084597.
22 118790.,22118790.
6  442-8,0600 442-8
20 5210.,20005210.
17 9972-81,17009972-81
9  10125.,09 10125.
21 19157.,21019157.
1  269-71,0100 269-71
13 23183-4,13023183-4
22 95471-5,22095471-5
5  4.,050000 4.
22 119370.001,22119370.001
21 5285.,21005285.
19 5906.,19005906.
22 69237.,22069237.
22 31610.,22031610.
19 8281.,19008281.
2  3305.,020 3305.
2  4870.001,020 4870.001
20 16191.,20016191.
22 111273.,22111273.
13 3520.,13003520.
21 66557.,21066557.
16 2755.,16002755.
12 12719.,12012719.
21 65152.,21065152.
22 27545.,22027545.
18 18317.,18018317.
18 7763.,18007763.
21 31652.,21031652.
7  821.,0700 821.
21 70834.,21070834.
10 2106.,10002106.
22 35763.,22035763.
22 55181.,22055181.
22 11978.,22011978.
22 86665.,22086665.
21 1590-3,21001590-3
8  3118.,080 3118.
21 13254.,21013254.
5  681-90,0500 681-90
21 56813-22,21056813-22
13 12758.,13012758.
22 31707.,22031707.
9  9916.,090 9916.
2  2154.,020 2154.
22 93937.,22093937.
17 7738.,17007738.
21 14112.,21014112.
17 10535.001,17010535.001
4  204-6,0400 204-6
1  1939.,010 1939.
8  8467.,080 8467.
21 50276-7,21050276-7
21 20347.,21020347.
1  7963-8191,010 7963-8191
22 83066.,22083066.
22 91919.004,22091919.004
21 12175.,21012175.
22 895-6,22000895-6
22 54227.002,22054227.002
3  165-73,0300 165-73
2  3245.,020 3245.
13 21557.,13021557.
16 17994.,16017994.
8  2133.,080 2133.
2  4151.,020 4151.
22 46740.,22046740.
21 16091.,21016091.
9  22964.,09 22964.
22 91152-3,22091152-3
22 17698.,22017698.
13 17974.,13017974.
20 2033.,20002033.
16 32938.,16032938.
22 119371.024,22119371.024
14 36-8,14000036-8
22 102181.010,22102181.010
22 118785.,22118785.
21 31856.,21031856.
13 5183.,13005183.
1  1323.001,010 1323.001
22 27293.,22027293.
1  7963-8191,010 7963-8191
20 11961.,20011961.
13 25148.002L,13025148.002L
13 6088.,13006088.
22 89689.,22089689.
22 13052.,22013052.
9  10366.,09 10366.
22 35057.,22035057.
10 2015.,10002015.
16 43347.,16043347.
12 221.,12000221.
20 7543.,20007543.
22 79988.,22079988.
3  2939.,030 2939.
16 30465.,16030465.
22 92997.,22092997.
21 26289.,21026289.
1  6731.,010 6731.
22 125793.,22125793.
22 101608-9,22101608-9
22 70510.,22070510.
16 22833.,16022833.
14 3516.,14003516.
2  2072.,020 2072.
19 3408.,19003408.
21 51567.,21051567.
10 3693.,10003693.
15 7398.,15007398.
1  4126.004,010 4126.004
15 10369.,15010369.
21 78069.,21078069.
22 100981.,22100981.
21 57831.,21057831.
22 64850.,22064850.
17 6004.,17006004.
22 96491.,22096491.
22 58268.,22058268.
21 66766.,21066766.
17 6522.,17006522.
21 42209.,21042209.
22 96978-9,22096978-9
22 5801-5,22005801-5
22 75819.,22075819.
21 52379.,21052379.
17 14475.,17014475.
16 5180-9,16005180-9
22 2339-51,22002339-51
17 877.,17000877.
21 68001.,21068001.
8  1696-8,080 1696-8
15 13265-6,15013265-6
22 84952.008,22084952.008
22 81815.,22081815.
13 18994-5,13018994-5
11 1053.,11001053.
3  3240-60,030 3240-60
21 68678.,21068678.
21 26050.,21026050.
22 104480.,22104480.
8  2095.,080 2095.
21 3810.,21003810.
22 2317-8,22002317-8
22 113913.,22113913.
22 4155-6,22004155-6
22 110232.,22110232.
21 45543.,21045543.
1  3563.,010 3563.
7  1962.,070 1962.
13 6447.,13006447.
16 4393.,16004393.
21 40468.,21040468.
21 57359-62,21057359-62
14 3548.,14003548.
22 20440.002L,22020440.002L
22 26575.,22026575.
21 26623.,21026623.
12 4562.,12004562.
1  8224.,010 8224.
18 1544.,18001544.
22 21303.,22021303.
1  275.,0100 275.
22 89996-7,22089996-7
10 5396.,10005396.
20 12965-6,20012965-6
14 6214-21,14006214-21
21 15662.,21015662.
20 1958.,20001958.
12 11302.,12011302.
10 8092.002L,10008092.002L
16 29610.,16029610.
2  2982.,020 2982.
22 9873.137,22009873.137
6  2274.,060 2274.
16 39514.,16039514.
10 3197-8,10003197-8
22 70201.,22070201.
13 13186.,13013186.
22 33637-8,22033637-8
1  3994-8,010 3994-8
21 62106.,21062106.
21 81018.,21081018.
13 25183-99,13025183-99
19 3072.,19003072.
22 42380.,22042380.
22 10568.,22010568.
22 38609.,22038609.
22 18780-1,22018780-1
22 32142.,22032142.
21 48793-4,21048793-4
17 3458.,17003458.
21 41139.,21041139.
18 1537.,18001537.
2  2016.,020 2016.
16 4082.,16004082.
21 63229.,21063229.
22 125257.,22125257.
22 103514.,22103514.
22 110532.,22110532.
22 24990.,22024990.
16 19667.,16019667.
15 9191.,15009191.
19 559.,19000559.
18 18669.,18018669.
21 49863.,21049863.
13 10227.,13010227.
22 72038-40,22072038-40
22 66246.,22066246.
8  3053.,080 3053.
22 104237.027,22104237.027
10 2721.,10002721.
22 112034.,22112034.
22 106773.,22106773.
6  2709.,060 2709.
19 8353.,19008353.
18 15675.,18015675.
2  1888-9,020 1888-9
20 15858.,20015858.
22 989.,22000989.
21 1152.,21001152.
16 8868.,16008868.
22 22943.,22022943.
16 17065.,16017065.
14 26.,14000026.
22 9051-3,22009051-3
22 99504.,22099504.
1  3672-7,010 3672-7
16 9619.,16009619.
13 22056-8,13022056-8
22 27582.,22027582.
18 15539.,18015539.
16 29840.,16029840.
21 45559.,21045559.
2  439.,0200 439.
2  1778.,020 1778.
17 6201.,17006201.
18 16839.,18016839.
1  1.,010000 1.
21 3317.003L,21003317.003L
9  13797.,09 13797.
7  11.,07000 11.
6 1730.,06001730.
20 16263.,20016263.
3  2344.,030 2344.
22 87527.,22087527.
16 24291.,16024291.
21 46513.,21046513.
13 7031.,13007031.
22 45771.,22045771.
22 104284.,22104284.
22 13443-4,22013443-4
22 7595-8,22007595-8
22 95863-4,22095863-4
13 16157.,13016157.
22 35710.,22035710.
22 18546.,22018546.
18 3807.,18003807.
22 7254.,22007254.
14 8957.,14008957.
22 14006.,22014006.
14 5854.,14005854.
2  192.,0200 192.
17 735.001,17000735.001
20 16166-75,20016166-75
8  1-17,080000 1-17
3  3326-40,030 3326-40
22 60716.,22060716.
21 11054.,21011054.
16 20205.,16020205.
21 69354.,21069354.
16 33991.,16033991.
22 34964.,22034964.
22 105421.,22105421.
21 33820.,21033820.
22 67700.,22067700.
22 101696.,22101696.
22 276-81,22000276-81
19 6113-4,19006113-4
19 7806.,19007806.
16 7902.,16007902.
3  3491-517,030 3491-517
19 1872.002L,19001872.002L
20 2236.,20002236.
22 110745.016,22110745.016
22 31977.,22031977.
22 71062.,22071062.
22 47763.001,22047763.001
22 119236.,22119236.
16 27195.,16027195.
2  2016.,020 2016.
3  1479-80,030 1479-80
1  3672-7,010 3672-7
3  3326-40,030 3326-40
21 63345.,21063345.
10 2658.,10002658.
20 4991.,20004991.
17 12744.002L,17012744.002L
22 104473.,22104473.
21 2189.,21002189.
11 2801.,11002801.
22 115727.001,22115727.001
22 122117.,22122117.
22 113619.,22113619.
21 56029.,21056029.
22 84864-5,22084864-5
17 6322.,17006322.
22 77457.,22077457.
16 39640.,16039640.
13 152.,13000152.
21 460.002L,21000460.002L
1  4310-1,010 4310-1
22 28819.,22028819.
2  4964.,020 4964.
22 16290-5,22016290-5
17 2552.,17002552.
22 56522.,22056522.
22 27460.,22027460.
22 11612.,22011612.
21 14546-7,21014546-7
20 7984.,20007984.
17 5738.001,17005738.001
2  3318.,020 3318.
20 18671.,20018671.
7  790.,0700 790.
2  3831.,020 3831.
22 62950.,22062950.
16 45354.,16045354.
2  192.,0200 192.
22 43377.,22043377.
9  9212.,090 9212.
22 519.,22000519.
2  2014.,020 2014.
8  840.,0800 840.
3  3196-236,030 3196-236
2  334.,0200 334.
22 123214.,22123214.
18 9550.,18009550.
21 24748.,21024748.
16 32162.,16032162.
16 13638.,16013638.
17 13476.,17013476.
21 33737.,21033737.
1  1738.,010 1738.
22 70457.,22070457.
22 45054.,22045054.
4  1574.002,040 1574.002
1 2331.,01002331.
22 101445.002,22101445.002
22 79947.,22079947.
22 49365.,22049365.
22 100635.,22100635.
9  16774.,09 16774.
21 14145.,21014145.
6  1622.,060 1622.
21 17038.,21017038.
1  4159.024,010 4159.024
21 54050.,21054050.
21 3031-6,21003031-6
6  2638.,060 2638.
9  3520-1,090 3520-1
13 22551.,13022551.
13 2606.,13002606.
13 22867.,13022867.
22 101510.007,22101510.007
20 11630.,20011630.
1  4105.,010 4105.
22 118270-1,22118270-1
2  4776.,020 4776.
17 2926.,17002926.
22 49229.,22049229.
1  7963-8191,010 7963-8191
22 20572.,22020572.
8  2617.,080 2617.
21 65066.,21065066.
14 8314.,14008314.
5  100-99,0500 100-99
22 100986.022,22100986.022
22 26996.,22026996.
22 109964.035,22109964.035
16 4054-74,16004054-74
4  986.,0400 986.
22 18685-7,22018685-7
13 22251.,13022251.
13 12546.,13012546.
17 6645.,17006645.
12 5862.,12005862.
8  8684.001,080 8684.001
4  3407.,040 3407.
21 28097-106,21028097-106
22 15299-300,22015299-300
16 39494.,16039494.
21 73120.,21073120.
14 5822.,14005822.
13 2501.,13002501.
13 17296.,13017296.
2  268.,0200 268.
16 43881-2,16043881-2
11 4.,11000004.
22 107641.,22107641.
21 78413.,21078413.
22 74253-7,22074253-7
17 14381-2,17014381-2
12 1668.,12001668.
13 22216.,13022216.
1  1042.,010 1042.
13 5005.,13005005.
17 5706.,17005706.
2  5813.,020 5813.
19 45.,19000045.
21 325-7,21000325-7
16 5900.003,16005900.003
21 9541.,21009541.
22 8015-8,22008015-8
13 18136.,13018136.
20 13677.,20013677.
21 32034.,21032034.
20 16231.,20016231.
12 3667.,12003667.
22 86409.,22086409.
22 38001.,22038001.
21 1590-3,21001590-3
20 1673.,20001673.
22 40025.,22040025.
6  1127-43,060 1127-43
19 7437.,19007437.
20 12899.,20012899.
22 71008.,22071008.
22 91698.,22091698.
16 246-7,16000246-7
18 15739.,18015739.
1  7.001,010000 7.001
22 45613.,22045613.
21 59021.,21059021.
9  4551.,090 4551.
21 332-3,21000332-3
13 15942.,13015942.
17 16172.,17016172.
21 12740.,21012740.
22 104847.,22104847.
22 38247.,22038247.
22 51702.,22051702.
21 46639.,21046639.
22 48737.,22048737.
14 5468.,14005468.
21 14722.,21014722.
10 8058-9,10008058-9
2  3889.,020 3889.
18 17446.,18017446.
22 55589.,22055589.
21 4583-7,21004583-7
22 96157-8,22096157-8
6  2441.,060 2441.
1  3060.,010 3060.
19 3348.,19003348.
17 4123.,17004123.
22 88906.,22088906.
18 18297.,18018297.
8  8902-6,080 8902-6
22 109220.005,22109220.005
22 125799.,22125799.
17 767-85,17000767-85
21 19996.,21019996.
22 27193.,22027193.
2  4586.,020 4586.
21 13951.,21013951.
22 85300-2,22085300-2
20 17986-8,20017986-8
14 3989.,14003989.
22 43288.,22043288.
16 7015.002L,16007015.002L
1  6392.,010 6392.
22 79201.,22079201.
21 3133.,21003133.
22 83432.,22083432.
5  1392-403,050 1392-403
22 42337.,22042337.
21 33823.,21033823.
9  6739.004L,090 6739.004L
21 17176.,21017176.
9  22814.,09 22814.
20 13315.,20013315.
22 91043.,22091043.
16 39509.,16039509.
8  8908.,080 8908.
20 4257-8,20004257-8
22 34803.,22034803.
21 10805.,21010805.
2  386.,0200 386.
22 107410.,22107410.
16 9633.,16009633.
2  5291.,020 5291.
4  3296.,040 3296.
22 54450.,22054450.
20 13731-2,20013731-2
13 14130.,13014130.
22 102655.,22102655.
21 56007.,21056007.
22 37259.,22037259.
1  5-6,010000 5-6
1  4059.006,010 4059.006
21 14161.,21014161.
22 56249.,22056249.
22 125304.,22125304.
16 24510.,16024510.
17 16121.,17016121.
6  3607.,060 3607.
2  3377.,020 3377.
22 22107.,22022107.
12 5617.,12005617.
21 39277.,21039277.
10 4864.,10004864.
18 1253.,18001253.
21 37757.,21037757.
6  2477.,060 2477.
21 69998.,21069998.
22 43209.,22043209.
22 72467.,22072467.
2  1802.,020 1802.
22 37110.,22037110.
16 40033.,16040033.
17 9221.,17009221.
20 18133.,20018133.
21 31177.,21031177.
21 31466.,21031466.
22 108871.,22108871.
22 44473.,22044473.
15 7590.,15007590.
16 13373.,16013373.
21 70241.,21070241.
22 75474.,22075474.
8  4470-1,080 4470-1
17 16175.,17016175.
21 9347.,21009347.
2  192.,0200 192.
10 8303-10,10008303-10
15 10755.,15010755.
22 101675-6,22101675-6
22 46425.,22046425.
22 82504.,22082504.
9  6981.,090 6981.
22 13073.,22013073.
22 97555.,22097555.
9  7892-4,090 7892-4
21 78536.,21078536.
22 108826.,22108826.
21 14424.,21014424.
21 70703.,21070703.
21 65892.,21065892.
16 30727.,16030727.
16 16400.,16016400.
6  2395.,060 2395.
22 89682.003,22089682.003
12 9199.,12009199.
6  1605-11,060 1605-11
20 8581-2,20008581-2
20 15993.,20015993.
22 105882.001,22105882.001
2  5369.,020 5369.
10 6463.,10006463.
17 7062.,17007062.
9  5278.,090 5278.
22 56310.,22056310.
22 103672.,22103672.
20 15896.,20015896.
6  399.,0600 399.
22 68510.,22068510.
16 18478.,16018478.
22 52280.,22052280.
22 23186.,22023186.
8  764.,0800 764.
21 25969.,21025969.
22 123980.001,22123980.001
22 116844-5,22116844-5
17 5418.,17005418.
22 52427.,22052427.
12 12109.,12012109.
22 28284.,22028284.
16 44711.,16044711.
16 6683.,16006683.
21 6334.,21006334.
20 13277.,20013277.
16 5519.,16005519.
22 84300.,22084300.
2  287.,0200 287.
22 78554.,22078554.
9  14055-6,09 14055-6
20 7544.,20007544.
22 41170.,22041170.
17 65.,17000065.
22 105896.,22105896.
15 58.,15000058.
22 97791.,22097791.
21 67625.,21067625.
6  6122.,060 6122.
21 11350.,21011350.
22 87075.,22087075.
1  3928.,010 3928.
16 36916.,16036916.
20 5882.001,20005882.001
22 80052.,22080052.
20 16356.,20016356.
21 34964.,21034964.
22 82472.,22082472.
9  15870-1,09 15870-1
2  1404.,020 1404.
16 10273.,16010273.
17 14957.,17014957.
22 104995.,22104995.
13 16268.,13016268.
21 15494.,21015494.
2  4186.,020 4186.
18 16581.,18016581.
16 35639.,16035639.
22 30573-4,22030573-4
16 20502.,16020502.
22 38292.,22038292.
21 78787.,21078787.
22 62233.,22062233.
1  4097.,010 4097.
21 13136.,21013136.
21 14786.,21014786.
22 87339-40,22087339-40
20 18513.,20018513.
22 62893.,22062893.
2  3877.,020 3877.
1  2636.,010 2636.
22 59617.,22059617.
22 16395.,22016395.
21 77831.,21077831.
22 82593.,22082593.
2  6050.,020 6050.
14 8896.,14008896.
22 57022.,22057022.
17 14422.,17014422.
14 3249.,14003249.
6  1239-53,060 1239-53
21 49134.,21049134.
21 68306.,21068306.
10 4223.,10004223.
1  4098.,010 4098.
2  1090-2,020 1090-2
11 2666.,11002666.
22 110377-8,22110377-8
20 17714.,20017714.
22 10770.,22010770.
22 89073.,22089073.
22 107347.,22107347.
2  2078-80,020 2078-80
2  283.,0200 283.
16 43093.,16043093.
1  1323.001,010 1323.001
19 9155.,19009155.
1  1217.,010 1217.
16 975.,16000975.
16 41364.,16041364.
8  4431.,080 4431.
16 14253.,16014253.
4  2097.,040 2097.
16 34586.,16034586.
7  2456.,070 2456.
2  4769.004,020 4769.004
12 4374.,12004374.
22 33257.,22033257.
22 45192.,22045192.
7  48-9,07000 48-9
22 104314.,22104314.
20 16313.,20016313.
21 8622.,21008622.
18 11157.,18011157.
14 3334-5,14003334-5
2 1996.,02001996.
22 76464.,22076464.
22 75597.,22075597.
2  3183.,020 3183.
21 71342.,21071342.
22 90677.001,22090677.001
22 80415.,22080415.
20 4241.,20004241.
8  7591.,080 7591.
18 2319-20,18002319-20
20 9691.,20009691.
22 16922.003L,22016922.003L
11 2279-83,11002279-83
19 10577.,19010577.
21 27084.,21027084.
16 21976.,16021976.
21 18096.,21018096.
20 18243.,20018243.
14 319.,14000319.
22 8612-3,22008612-3
14 7962.,14007962.
22 86306.,22086306.
22 86071.,22086071.
21 71881.,21071881.
22 7104.,22007104.
9  10778.,09 10778.
20 9109.,20009109.
22 7500-1,22007500-1
2  1843.,020 1843.
1  720.,0100 720.
21 71136.,21071136.
1  4189.001,010 4189.001
12 5617.,12005617.
22 29456.,22029456.
16 27942.,16027942.
17 9136.,17009136.
21 30795.,21030795.
21 25217.,21025217.
22 38230.,22038230.
22 50865-6,22050865-6
17 7003.002L,17007003.002L
15 10452.,15010452.
22 27972.,22027972.
19 7907.,19007907.
22 120652-3,22120652-3
22 99516.,22099516.
1  1565.,010 1565.
13 15505.,13015505.
17 8193-4,17008193-4
22 103739.,22103739.
2  1910-5,020 1910-5
1  2687.,010 2687.
21 60907.,21060907.
21 20031.002L,21020031.002L
16 724.,16000724.
3  3326-40,030 3326-40
1  4189.059,010 4189.059
21 62005.,21062005.
18 14805.,18014805.
1  9813.,010 9813.
22 118569.,22118569.
22 520.,22000520.
12 10361.,12010361.
21 42906.,21042906.
21 10912.,21010912.
5  3133.,050 3133.
17 6960.,17006960.
20 12986-7,20012986-7
21 68072.,21068072.
2  3472.,020 3472.
13 152.,13000152.
3  3491-517,030 3491-517
2  184.,0200 184.
21 53073.,21053073.
2  2785.,020 2785.
22 116758.,22116758.
22 50836.003L,22050836.003L
18 18197.,18018197.
21 5651.,21005651.
22 773-4,22000773-4
22 7210-1,22007210-1
16 38610.,16038610.
20 14254.,20014254.
22 55535.,22055535.
22 29480.,22029480.
18 16820.,18016820.
21 1483.,21001483.
20 16003-4,20016003-4
1  4105.,010 4105.
15 537.,15000537.
22 109935.,22109935.
10 8759.,10008759.
16 20174.002,16020174.002
21 70603.,21070603.
2  4851.,020 4851.
18 15436.,18015436.
22 92260.,22092260.
11 2193-99,11002193-99
21 16407.,21016407.
1  3620.,010 3620.
22 114906.,22114906.
1  5199.,010 5199.
22 102116.,22102116.
9  17836.,09 17836.
16 43560-71,16043560-71
5  1822-3,050 1822-3
21 74097.,21074097.
12 11025.,12011025.
22 27062.,22027062.
17 5827.,17005827.
17 11658.,17011658.
14 2342.,14002342.
21 346-7,21000346-7
13 12293.,13012293.
22 103175.,22103175.
21 17399.,21017399.
18 5684.,18005684.
10 3953.,10003953.
4  1737.,040 1737.
1  4087-97,010 4087-97
16 20960.,16020960.
22 105378.,22105378.
21 26509.,21026509.
9  112-24,0900 112-24
22 52266.,22052266.
21 50779.,21050779.
2  5108.,020 5108.
16 44322.,16044322.
2  650.,0200 650.
22 59550.,22059550.
15 6025.,15006025.
10 2706.,10002706.
1  4292.,010 4292.
18 5239.,18005239.
16 36726.,16036726.
9  20473-4,09 20473-4
21 42165.,21042165.
21 57975.,21057975.
21 47750.,21047750.
1  275.,0100 275.
13 120.,13000120.
5  2722.,050 2722.
22 46164.,22046164.
22 85483.,22085483.
16 29427.,16029427.
2  3344.,020 3344.
21 26347.,21026347.
9  9174.,090 9174.
2  95-118,02000 95-118
16 19060.,16019060.
15 1825-6,15001825-6
14 1115.,14001115.
22 59147.,22059147.
22 124446.,22124446.
8  5634.,080 5634.
22 19042-9,22019042-9
21 58462.012,21058462.012
2  188-91,0200 188-91
2  390.,0200 390.
2  290.,0200 290.
18 17239.,18017239.
22 47483.,22047483.
16 26206.,16026206.
2  3067.,020 3067.
21 18325-6,21018325-6
17 811.,17000811.
21 36642.,21036642.
22 55085.,22055085.
4  2737.,040 2737.
14 1007.,14001007.
22 2317-8,22002317-8
21 58393.,21058393.
22 47487.002L,22047487.002L
9  8446-52,090 8446-52
22 121232.,22121232.
22 107817.001,22107817.001
21 65747-53,21065747-53
21 74024.,21074024.
16 27827.,16027827.
6  411.,0600 411.
8  6314.,080 6314.
13 13492.003,13013492.003
19 8201.,19008201.
22 37067.,22037067.
14 1186.,14001186.
18 9479.,18009479.
9  12840.,09 12840.
1  259-66,0100 259-66
22 11827.,22011827.
21 22858-9,21022858-9
2  2110.,020 2110.
14 318.,14000318.
8  5864.,080 5864.
22 70267.,22070267.
22 13943-5,22013943-5
21 17195.,21017195.
21 37699.,21037699.
22 88699.,22088699.
22 34668.,22034668.
16 33651.,16033651.
13 14371.,13014371.
22 40969.,22040969.
16 31976.,16031976.
13 14311.,13014311.
22 36383-95,22036383-95
22 113359-61,22113359-61
2  2136.,020 2136.
21 69561.,21069561.
9  3714.,090 3714.
1  3908.,010 3908.
22 125046.,22125046.
3  3183-95,030 3183-95
22 9873.101,22009873.101
6  776-84,0600 776-84
15 5159-60,15005159-60
22 53194.,22053194.
20 8786.,20008786.
16 10614-9,16010614-9
10 8802.,10008802.
21 70858.,21070858.
15 2200.,15002200.
22 724-8,22000724-8
21 51481.,21051481.
9  4436-67,090 4436-67
2  188-91,0200 188-91
13 24309.008,13024309.008
22 93117.,22093117.
21 45462-526,21045462-526
22 43388-9,22043388-9
20 15730-1,20015730-1
22 53762.,22053762.
22 102113.,22102113.
9  100.,0900 100.
22 104120.,22104120.
16 21401.,16021401.
22 75608.,22075608.
16 40396.,16040396.
21 62729.,21062729.
13 24217.,13024217.
12 12542.,12012542.
22 27655.,22027655.
14 10786.,14010786.
9  4534.,090 4534.
21 80002.,21080002.
21 81053.,21081053.
22 116058.,22116058.
21 70703.,21070703.
22 104475.,22104475.
22 72331.,22072331.
16 28409.,16028409.
16 4133.,16004133.
22 33458.,22033458.
22 38140.,22038140.
2  294-7,0200 294-7
21 19456.,21019456.
22 9873.128,22009873.128
14 12156.,14012156.
22 117301.,22117301.
1 3837-49,01003837-49
21 64147-8,21064147-8
21 55576.,21055576.
4  240.,0400 240.
22 30610.002,22030610.002
22 63712-3,22063712-3
